Adrian Blackwell  
Beatrice Langston  
Caleb Dorne  
Delilah Marlowe  
Elijah Thorne  
Fiona Radcliffe  
Gideon Ashcroft  
Helena Whitmore  
Isaac Pendleton  
Jasmine Holloway  
Kai Ravenswood  
Lydia Fairbourne  
Maximilian Voss  
Nina Clearwater  
Oscar Winslow  
Penelope Albright  
Quentin Drake  
Rowena Larkspur  
Sebastian Wexler  
Talia Rosemont  
Ulysses Montgomery  
Valeria Nightshade  
Wesley Braithwaite  
Xander Beaumont  
Yara Featherstone  
Zacharias Hale  
Amelia Grimsby  
Benedict Hollowell  
Celia Wrenford  
Dorian Whitlock  
Evangeline Rook  
Felix Alderidge  
Gemma Starling  
Harvey Ellington  
Iris Bellamy  
Jasper Northwood  
Kiera Blackthorn  
Leonard Vale  
Miranda Crosswell  
Nathaniel Bramford  
Odessa Windermere  
Phineas Duskwood  
Quincy Marchand  
Rhea Glencross  
Silas Cromwell  
Thea Winterbourne  
Ulric Stormwell  
Veronica Sable  
Wyatt Greystone  
Xenia Duskvale  
Yves Hawthorne  
Zoey Redbrook  
Avery Langford  
Briony Ashdown  
Cassian Moorcroft  
Dahlia Ravenscroft  
Edmund Stonebridge  
Freya Thornfield  
Graham Leighton  
Hazel Wickham  
Ivan Emberly  
Juliet Foxworth  
Killian Brightmoor  
Luna Clearwater  
Malcolm Nightwind  
Nora Fenwick  
Orion Starcrest  
Petra Davenfield  
Reuben Moorland  
Selene Briarwood  
Tristan Oakridge  
Una Greenvale  
Vincent Northgate  
Willow Blackbriar  
Ximena Everhart  
Yves Morningside  
Zara Halesworth  
Ambrose Whitwell  
Blythe Greenbriar  
Cedric Ashbourne  
Daphne Crestfield  
Elias Rosehill  
